haiku,season,author,reading,kigo
むっとして　戻れば庭に　柳かな　,春,召波,むっとして　もどればにわに　やなぎかな,
白椿　落つる音のみ　月夜かな,春,蘭更,しろつばき　おつるおとのみ　つきよかな,
うぐいすの　古声したふ　初日かな,春,樗良,うぐいすの　ふるごえしたふ　はつひかな,
夜はうれしく　昼は静かや　春の雨,春,樗良,よるはうれしく　ひるはしずかや　はるのあめ,
鶯の　鳴くや昨日の　今時分,春,樗良,うぐいすの　なくやきのうの　いまじぶん　,
ふるさとへ　戻りて見たる　柳かな,春,樗良,ふるさとへ　もどりてみたる　やなふぎかな,
思ひ出て　庭掃く春の　夕かな,春,大魯,おもひでて　にわはくはるの　ゆうかな,
春風に　おさるゝ美女の　いかりかな,春,曉台,はるかぜに　おさるるびじょの　いかりかな,
負ふた子に　蕨をとりて　持たせけり,春,曉台,おふたこに　わらびをとりて　またせけり,
二股に　なりて霞める　野川かな,春,白雄,ふたまたに　なりてかすめる　のかわかな,
暮れんとす　春の狂や　雹ふる,春,几董 ,くれんとす　はるのくるいや　あられふる,
畑をうつ　翁が頭巾　ゆがみけり,春,几董 ,はたをうつ　おきながずきん　ゆがみけり,
どこでやらで　鶯なきぬ　昼の月,春,士郎,どこでやらで　うぐいすなきぬ　ひるのつき　,
春雨や　木の間に見ゆる　海の道,春,乙二,はるさめや　このまにみゆる　うみのみち,
元日も　立のまんまの　屑家哉,春,一茶,がんじつも　たちのまんまの　くずやかな,
あっさりと　春は来にけり　浅黄空,春,一茶,あっさりと　はるはきにけり　あさぎぞら,
門前や　杖でつくりし　雪解川,春,一茶,もんぜんや　つえでつくりし　ゆきげがわ,
雪解けて　村一ぱいの　子ども哉,春,一茶,ゆきとけて　むらいっぱいの　こどもかな,
鳥の音に　咲うともせず　藪の梅,春,一茶,とりのねに　さこうともせず　やぶのうめ,
是きりと　見えてどつさり　春の雪,春,一茶,これきりと　みえてどっさり　はるのゆき,
ひたすらに　咲こうでもなし　門の梅,春,一茶,ひたすらに　さこうでもなし　かどのうめ,
春の日や　水さへあれば　暮れ残り,春,一茶,はるのひや　みずさへあれば　くれのこり,
春雨や　藪に吹かるる　捨手紙,春,一茶,はるさめや　やぶにふかるる　すててがみ,
黄鳥や　泥あしぬぐふ　梅の花,春,一茶,うぐいすや　どろあしぬぐう　うめのはな,
花の陰　あかの他人は　なかりけり,春,一茶,はなのかげ　あかのたにんは　なかりけり,
今はれし　雨とも見えて　わらび哉,春,一茶,いまはれし　あめともみえて　わらびかな,
犬の子の　ふまえて眠る　柳かな,春,一茶,いぬのこの　ふまえてねむる　やなぎかな,
寝て起きて　大あくびして　猫の恋,春,一茶,めておきて　おおあくびして　ねこのこい,
痩蛙　負けるな一茶　これにあり,春,一茶,やせがえる　まけるないっさ　これにあり,
木曽川は　怒り木曽山は　笑ふなり,春,鳴雪,きがわは　いかりきそやまは　わらふなり,
旅僧や　霞に消えて　鉦の声,春,鳴雪,たびそうや　かすみにきえて　かねのこえ,
あざみあざやかなあさのあめあがり,春,山頭火,あざみあざやかなあさのあめあがり,
落花枝に　帰ると見れば　胡蝶かな,夏,守武,らっかえだに　かえるとみれば　こちょうかな,
雨の日や　門さげて行く　杜若,夏,信徳,あめのひや　かどさげてゆく　かきつばた,
五月雨に　かくれぬものや　瀬田の橋,夏,芭蕉,さみだれに　かくれぬものや　せたのはし,五月雨
五月雨を　集めて早し　最上川,夏,芭蕉,さみだれを　あつめてはやし　もがみがわ,五月雨
日の道や　葵かたむく　五月雨,夏,芭蕉,ひのみちや　あおいかたむく　さつきあめ,五月雨
五月雨に　鶴の足　みじがくなれり,夏,芭蕉,さつきあめに　つるのあし　みじかくなれり,五月雨
吹くたびに　蝶の居直る　柳かな,夏,芭蕉,ふくたびに　ちょうのいなおる　やなぎかな,
ひやひやと　壁をふまえて　昼寝かな,夏,芭蕉,ひやひやと　かべをふまえて　ひるねかな,
閑さや　岩にしみ入る　蝉の声,夏,芭蕉,しずかさや　いわにしみいる　せみのこえ,
蚤虱　馬の尿する　枕もと,夏,芭蕉,のみしらみ　うまのにょうする　まくらもと,
起きよ起きよ　我が友にせん　寝る胡蝶,夏,芭蕉,おきよおきよ　わがともにせん　ねるこちょう,
やがて死ぬ　けしきは見えず　蝉の声,夏,芭蕉,やがてしぬ　けしきはみえず　せみのこえ,
牡丹蕊深く　分出る蜂の　名残かな,夏,芭蕉,ぼたんしべふかく　わけいずるはちの　なごりかな,牡丹
声に皆　鳴きしまう手や　蝉の殻,夏,芭蕉,こえにみな　なきしまうてや　せみのから,
清滝や　浪にちりこむ　青松葉,夏,芭蕉,きよたきや　なみにちりこむ　あおまつば,
汐超しや　鶴脛ぬれて　海涼み,夏,芭蕉,しおごしや　つるはぎぬれて　うすずみ,
薬欄に　いづれの花を　草枕,夏,芭蕉,やくらんに　いづれのはなを　くさまくら,
先ずたのむ　椎の木もあり　夏木立,夏,芭蕉,まずたのむ　しいのきもあり　なつこだち,
稲妻や　闇の方行く　五位の声,夏,芭蕉,いなずまや　やみのかたゆく　ごいのこえ,
五月雨に　蛙の泳ぐ　戸口かな,夏,杉風,さみだれに　かわずのおよぐ　とぐちかな,五月雨
撫子を　打つ夕立や　さもあらき,夏,杉風,なでしこを　うつゆうだちや　さもあらき,
稲妻に　大仏拝む　野中かな,夏,荷兮,いなずまに　だいぶつおがむ　のなかかな,
名を聞いて　また見直すや　草の花,夏,低耳,なをきいて　またみなおすや　くさのはな,
陽炎や　ほろほろ落ちる　岩の砂,夏,土芳,かげろうや　ほろほろおちる　いわのすな,
飛ぶ鮎の　底に雲ゆく　流れかな,夏,鬼貫,とぶあゆの　そこにくもゆく　ながれかな,
涼風や　虚空に満ちて　松の声,夏,鬼貫,すずかぜや　こくうにみちて　まつのこえ,
行水の　捨てどころなし　虫の声,夏,鬼貫,ぎょうずいの　すてどころなし　むしのこえ,
盗人の　塚もむさるる　夏の草,夏,鬼貫,ぬすびとの　つかもむさるる　なつのくさ,
夕立に　ひとり外見る　女かな,夏,其角,ゆうだちに　ひとりそとみる　おんなかな,
稲妻や　きのふは東　今日は西,夏,其角,いなずまや　きのふはひがし　きょうはにし,
夕日影　町中に飛ぶ　こてふかな,夏,其角,ゆうひかげ　まちなかにとぶ　こてふかな,
白雨に　はしりくだるや　竹の蟻　,夏,丈草,しらあめに　はしりくだるや　たけのあり,
雨に折れて　穂麦に狭き　小径かな,夏,丈草,あめにおれて　ほむぎにせまき　こみちかな,穂麦
渡りかけて　藻の花のぞく　流れかな,夏,凡兆,わたりかけて　ものはなのぞく　ながれかな,
夕立や　智慧さまざまの　かぶり物,夏,乙由,ゆうだちや　ちえさまざまの　かぶりもの,
翡翠や　ぬれ羽にうつる　夕日影,夏,桃李,かわせみや　ぬれはにうつる　ゆうひかげ,
釣竿の　糸にさわるや　夏の月,夏,千代尼,つりざおの　いとにさわるや　なつのつき,
橋落ちて　人岸に在り　夏の月,夏,太祇,はしおちて　ひときしにあり　なつのつき,
飛ぶ蛍　あれと言はんも　独りかな,夏,太祇,とぶほたる　あれといはんも　ひとりかな,蛍
夕風や　水青鷺の　脛をうつ　,夏,蕪村,ゆうかぜや　みずあおさぎの　はぎをうつ,
釣鐘に　止まりて眠る　胡蝶かな,夏,蕪村,つりがねに　とまりてねむる　こちょうかな,
さみだれや　大河を前に　家二軒,夏,蕪村,さみだれや　たいがをまえに　いえにけん,
朝風の　手を吹き見ゆる　毛虫かな　,夏,蕪村,あさかぜの　てをふきみゆる　けむしかな,
羽蟻とぶや　富士の裾野の　小家より,夏,蕪村,はありとぶや　ふじのすそのの　こいえより,
広野行く　身に近づくや　雲の峰,夏,蕪村,こうやゆく　みにちかづくや　くものみね,
雷に　小家は焼かれて　瓜の花,夏,蕪村,かみなりに　こやはやかれて　うりのはな,
夕立ちや　草葉をつかむ　村雀,夏,蕪村,ゆうだちや　くさばをつかむ　むらすずめ,
蚊の声す　忍冬の花　散るたびに,夏,蕪村,かのこえす　にんどうのはな　ちるたびに,忍冬の花
短夜の　夜の間にさける　牡丹哉,夏,蕪村,みじかよの　よるのまにさける　ぼたんかな,牡丹
五月雨の　うつぼ柱や　老いの耳,夏,蕪村,さみだれの　うつぼばしらや　おいのみみ,五月雨
牡丹や　しろがねの猫　こがねの蝶,夏,蕪村,ぼたんや　しろがねのねこ　こがねのちょう,牡丹
若葉して　水白く麦　黄ばみたり,夏,蕪村,わかばして　みずしろくむぎ　きばみたり,
五月雨に　見えずなりぬる　径かな,夏,蕪村,さみだれに　みえずなりぬる　こみちかな,五月雨
牡丹散りて　打ちかさなりぬ　二三片,夏,蕪村,ぼたんちりて　うちかさなりぬ　にさんぺん,牡丹
追われては　月に隠るゝ　蛍かな,夏,寥太,おわれては　つきにかくるる　ほたるかな,蛍
日の影や　眠れる蝶に　透き通り,夏,蘭更,ひのかげや　ねむれるちょうに　すきとおり,
