kigo,pronunciation,season
藷粥,いもがゆ,冬
芋雑炊,いもぞうすい,冬
薯雑炊,いもぞうすい,冬
八百穂祭,いやほのまつり,冬
伊予緋蕪,いよひかぶ,冬
伊予蜜柑,いよみかん,冬
海参,いりこ,冬
海豚,いるか,冬
海豚狩,いるかがり,冬
色足袋,いろたび,冬
囲炉裏,いろり,冬
囲炉裡開く,いろりひらく,冬
岩木,いわき,冬
鰯鯨,いわしくじら,冬
鰯の頭挿す,いわしのかしらさす,冬
岩槻葱,いわつきねぎ,冬
引上会,いんじょうえ,冬
忌火の御膳,いんびのおもの,冬
忌火の御飯,いんびのごはん,冬
筌,うえ,冬
魚すき,うおすき,冬
羽音,うおん,冬
宇賀神祭,うがのかみまつり,冬
宇賀祭,うがまつり,冬
浮炭,うきずみ,冬
浮鳥,うきどり,冬
浮寝鳥,うきねどり,冬
鶯の子,うぐいすのこ,冬
鶯の子鳴く,うぐいすのこなく,冬
うぐろ大根,うぐろだいこん,冬
兎,うさぎ,冬
兎網,うさぎあみ,冬
兎狩,うさぎがり,冬
兎罠,うさぎわな,冬
丑紅,うしべに,冬
雲州橘,うじゅきつ,冬
埋火,うずみび,冬
うつ田姫,うつたひめ,冬
饂飩すき,うどんすき,冬
姥等,うばら,冬
雨氷,うひょう,冬
烏府,うふ,冬
馬下,うまさげ,冬
馬下げ,うまさげ,冬
馬下げる,うまさげる,冬
海秋沙,うみあいさ,冬
海凍る,うみこおる,冬
海雀,うみすずめ,冬
海千鳥,うみちどり,冬
梅探る,うめさぐる,冬
梅の宮祭,うめのみやまつり,冬
梅初月,うめはつづき,冬
梅早し,うめはやし,冬
裏白,うらじろ,冬
浦千鳥,うらちどり,冬
潤目鰯,うるめいわし,冬
運気蕎麦,うんきそば,冬
温州蜜柑,うんしゅうみかん,冬
温糟粥,うんぞうがゆ,冬
温臓粥,うんぞうがゆ,冬
芸始めて生ず,うんはじめてしょうず,冬
永観忌,えいかんき,冬
液雨,えきう,冬
会式桜,えしきざくら,冬
蝦夷鼬,えぞいたち,冬
蝦夷狼,えぞおおかみ,冬
蝦夷牡蠣,えぞがき,冬
枝打,えだうち,冬
枝炭,えだずみ,冬
越後兎,えちごうさぎ,冬
越前蟹,えちぜんがに,冬
悦哉,えつさい,冬
越冬燕,えっとうつばめ,冬
越年資金,えつねんしきん,冬
榎枯る,えのきかる,冬
榎茸,えのきだけ,冬
海老芋,えびいも,冬
蝦芋,えびいも,冬
夷子切,えびすぎれ,冬
恵比寿講,えびすこう,冬
恵比須講,えびすこう,冬
恵美須講,えびすこう,冬
夷講,えびすこう,冬
夷子祭,えびすまつり,冬
絵屛風,えびょうぶ,冬
烏帽子貝,えぼしがい,冬
魞簀編む,えりすあむ,冬
襟巻,えりまき,冬
円宗寺法華会,えんしゅうじほっけえ,冬
煙霧,えんむ,冬
追鳥狩,おいとりがり,冬
負真綿,おいまわた,冬
御忌祭,おいみまつり,冬
王祇祭,おうぎさい,冬
王子の狐火,おうじのきつねび,冬
応鐘,おうしょう,冬
近江蕪,おうみかぶ,冬
近江漬,おうみづけ,冬
御影講,おえいこう,冬
御会式桜,おえしきざくら,冬
大魚,おおいお,冬
大神祭,おおがのまつり,冬
大蕪,おおかぶ,冬
狼,おおかみ,冬
大北風,おおぎた,冬
大木葉木菟,おおこのはずく,冬
大前張,おおさいばり,冬
麋角解,おおしかのつのおつ,冬
大霜,おおしも,冬
大節季,おおせっき,冬
大鷹,おおたか,冬
蒼鷹,おおたか・もろがえり,冬
大焚火,おおたきび,冬
大歳,おおどし,冬
大年,おおとし・おおどし,冬
大年越,おおとしこし,冬
大嘗祭,おおにえまつり・だいじょうさい,冬
大野赤蕪,おおのあかかぶ,冬
大白鳥,おおはくちょう,冬
大祓,おおはらい・おおはらえ,冬
大原雑魚寝,おおはらざこね,冬
大原野祭,おおはらのまつり,冬
大鰤,おおぶり,冬
大三十日,おおみそか,冬
大晦日,おおみそか・おおつごもり,冬
大社神事,おおやしろしんじ,冬
大雪,おおゆき,冬
大鷲,おおわし,冬
大綿,おおわた,冬
大綿虫,おおわたむし,冬
岡躑躅,おかつつじ,冬
岡見,おかみ,冬
おかめ市,おかめいち,冬
置炬燵,おきごたつ,冬
沖すき,おきすき,冬
沖鱸,おきすずき,冬
沖鱈,おきだら,冬
興津鯛,おきつだい,冬
翁忌,おきなき,冬
翁の日,おきなのひ,冬
置ペチカ,おきぺちか,冬
御潔め祭,おきよめさい,冬
晩三吉,おくさんきち,冬
苧屑頭巾,おくそずきん,冬
白朮,おけら,冬
御講,おこう,冬
御講凪,おこうなぎ,冬
お講日和,おこうびより,冬
御高祖頭巾,おこそずきん,冬
お事汁,おことじる,冬
おこり炭,おこりずみ,冬
納の庚申,おさめのこうしん,冬
納の金毘羅,おさめのこんぴら,冬
納の水天宮,おさめのすいてんぐう,冬
納の大師,おさめのだいし,冬
納札,おさめふだ,冬
納め八日,おさめようか,冬
押しくら饅頭,おしくらまんじゅう,冬
御七夜,おしちや,冬
匹鳥,おしどり,冬
鴛鴦,おしどり,冬
鴛鴦の浮寝,おしのうきね,冬
鴛鴦の沓,おしのくつ,冬
鴛鴦の契,おしのちぎり,冬
鴛鴦の妻,おしのつま,冬
鴛鴦の独寝,おしのひとりね,冬
鴛鴦の衾,おしのふすま,冬
惜しむ年,おしむとし,冬
御灯消,おしめし,冬
御霜月,おしもつき,冬
お霜月,おしもつき,冬
お十夜,おじゅうや,冬
御十夜,おじゅうや,冬
尾白鷲,おじろわし,冬
お歳暮,おせいぼ,冬
落鱚,おちぎす,冬
落鱸,おちすずき,冬
落葉,おちば・らくよう,冬
落葉搔,おちばかき,冬
落葉搔く,おちばかく,冬
落葉籠,おちばかご,冬
落葉風,おちばかぜ,冬
落葉衣,おちばごろも,冬
落葉焚,おちばたき,冬
落葉焚く,おちばたく,冬
落葉時,おちばどき,冬
落葉の雨,おちばのあめ,冬
落葉の時雨,おちばのしぐれ,冬
落葉掃く,おちばはく,冬
落葉焼く,おちばやく,冬
落葉山,おちばやま,冬
乙字忌,おつじき,冬
越年蝶,おつねんちょう,冬
越年燕,おつねんつばめ,冬
おでん屋,おでんや,冬
弟月,おとごづき,冬
乙子月,おとごづき,冬
乙子の節句,おとごのせっく,冬
乙子の朔日,おとごのついたち,冬
乙子の餅,おとごのもち,冬
御取越,おとりこし,冬
お酉さま,おとりさま,冬
尾長鴨,おなががも,冬
鬼打豆,おにうちまめ,冬
鬼をこぜ,おにおこぜ,冬
鬼の豆,おにのまめ,冬
鬼の目さし,おにのめさし,冬
鬼は外,おにはそと,冬
鬼火,おにび,冬
