kigo,pronunciation,season
銀杏の芽,いちょうのめ,春
一輪草,いちりんそう,春
一国巡,いっこくめぐり,春
一切経会,いっさいきょうえ,春
一時上﨟,いっときじょうろう・いちじじょうろう,春
凍返る,いてかえる,春
冱返る,いてかえる,春
凍解くる,いてとくる,春
凍解,いてどけ,春
井手の蛙,いでのかわず,春
凍戻る,いてもどる,春
凍ゆるむ,いてゆるむ,春
糸繰草,いとくりそう,春
従兄煮,いとこに,春
従弟煮,いとこに,春
糸桜,いとざくら,春
糸菜,いとな,春
糸葱,いとねぎ,春
糸雛,いとびな,春
糸柳,いとやなぎ,春
糸遊,いとゆう,春
いなだ東風,いなだごち,春
居なり,いなり,春
稲荷講,いなりこう,春
稲荷神幸祭,いなりしんこうさい,春
稲荷のお出,いなりのおいで,春
稲荷祭,いなりまつり,春
稲荷祭御出,いなりまつりおいで,春
犬桜,いぬざくら,春
犬杉菜,いぬすぎな,春
犬ふぐり,いぬふぐり,春
いぬ蕨,いぬわらび,春
貽の貝,いのかい,春
いまはの雁,いまわのかり,春
いまわの雁,いまわのかり,春
芋植う,いもうう,春
妹がり行く猫,いもがりゆくねこ,春
芋種,いもたね,春
藷苗,いもなえ,春
甘藷苗作る,いもなえつくる,春
芋の芽,いものめ,春
芋棒,いもぼう,春
炒米,いりごめ,春
入り彼岸,いりひがん,春
彩卵,いろたまご,春
岩朧,いわおぼろ,春
石清水一切経会,いわしみずいっさいきょうえ,春
石清水臨時祭,いわしみずりんじさい,春
岩つつじ,いわつつじ,春
岩躑躅,いわつつじ,春
岩燕,いわつばめ,春
岩梨の花,いわなしのはな,春
岩根草,いわねぐさ,春
岩海苔,いわのり,春
植木市,うえきいち,春
植疱瘡,うえぼうそう,春
右衛門桜,うえもんざくら,春
魚島,うおじま,春
魚島時,うおじまどき,春
魚氷に上る,うおひにのぼる,春
浮かれ猫,うかれねこ,春
うかれ猫,うかれねこ,春
萍生い初む,うきくさおいそむ,春
萍生ひ初む,うきくさおいそむ,春
萍生う,うきくさおう,春
萍生ふ,うきくさおう,春
浮氷,うきごおり,春
浮鯛,うきだい,春
黄鸝,うぐいす,春
鶯,うぐいす,春
黄鳥,うぐいす・きちょう,春
鶯合,うぐいすあわせ,春
鶯神楽,うぐいすかぐら,春
鶯衣,うぐいすごろも,春
鶯菜,うぐいすな,春
鶯の巣,うぐいすのす,春
鶯の袖,うぐいすのそで,春
鶯の谷渡り,うぐいすのたにわたり,春
鶯の初音,うぐいすのはつね,春
鶯笛,うぐいすぶえ,春
鶯餅,うぐいすもち,春
海髪,うご,春
五加,うこぎ,春
五加木,うこぎ,春
五加垣,うこぎがき,春
五加茶,うこぎちゃ,春
五加摘む,うこぎつむ,春
五加飯,うこぎめし,春
右近忌,うこんき,春
宇佐神宮鎮疹祭,うさじんぐうちんえきさい,春
宇佐祭,うさまつり,春
牛虻,うしあぶ,春
宇治一切経会,うじいっさいきょうえ,春
湖招,うしおまねき,春
牛蛙,うしがえる,春
雨水,うすい,春
薄霞,うすがすみ,春
薄紅梅,うすこうばい,春
雲珠桜,うすざくら,春
薄ざくら,うすざくら,春
渦潮,うずしお,春
薄葉あをのり,うすはあおのり,春
薄葉あおのり,うすばあおのり・うすはあおのり,春
薄氷,うすらい・うすごおり,春
鷽,うそ,春
鷽鳥,うそどり,春
鷽の琴,うそのこと,春
鷽姫,うそひめ,春
歌よみ鳥,うたよみどり,春
歌詠鳥,うたよみどり,春
打鱈,うちだら,春
団扇作る,うちわつくる,春
団扇張る,うちわはる,春
鬱金香,うっこんこう・うこんこう,春
十六島海苔,うっぷるいのり,春
独活,うど,春
土当帰,うど,春
独活和,うどあえ,春
独活掘る,うどほる,春
うなり凧,うなりだこ,春
海胆,うに,春
海栗,うに,春
雲丹,うに,春
うば貝,うばがい,春
菟芽木,うはぎ,春
姥桜,うばざくら,春
姥彼岸,うばひがん,春
姥柳,うばやぎ,春
うべの花,うべのはな,春
苜蓿,うまごやし・もくしゅく,春
苜蓿の花,うまごやしのはな,春
馬蓼,うまたで,春
馬の子,うまのこ,春
馬の仔,うまのこ,春
馬の子生る,うまのこうまる,春
午の神事,うまのしんじ,春
午祭,うままつり,春
厩出し,うまやだし,春
海扇,うみおうぎ,春
海朧,うみおぼろ,春
海下,うみおり,春
海索麵,うみそうめん,春
海蜷,うみにな,春
海猫渡る,うみねこわたる,春
海鱒,うみます,春
梅,うめ,春
梅が香,うめがか,春
梅ごち,うめごち,春
梅東風,うめごち,春
梅暦,うめごよみ,春
梅つさ月,うめつさづき,春
梅の主,うめのあるじ,春
梅の里,うめのさと,春
梅の宿,うめのやど,春
梅見,うめみ,春
梅見茶屋,うめみぢゃや,春
梅見月,うめみづき,春
梅屋敷,うめやしき,春
梅若忌,うめわかき,春
梅若ごと,うめわかごと,春
梅若祭,うめわかさい・うめわかまつり,春
梅若様,うめわかさま,春
梅若の涙雨,うめわかのなみだあめ,春
梅若の涙雨,うめわかのなみだあめ,春
浦佐の堂押,うらさのどうおし,春
裏紅いちげ,うらべにいちげ,春
麗か,うららか,春
うりずん南風,うりずんばえ,春
漆草,うるしぐさ,春
漆の芽,うるしのめ,春
蟒草,うわばみそう,春
上溝桜,うわみぞざくら,春
芸香,うんこう,春
雲仙躑躅,うんぜんつつじ,春
運動会,うんどうかい,春
叡山すみれ,えいざんすみれ,春
永日,えいじつ,春
益斎芹,えきさいぜり,春
恵具,えぐ,春
女萎,えぐ,春
えくぼ花,えくぼばな,春
衛士,えじ,春
絵だこ,えだこ,春
絵凧,えだこ,春
枝の主日,えだのしゅじつ,春
江戸桜,えどざくら,春
海老根,えびね,春
化偸草,えびね,春
箙の梅,えびらのうめ,春
絵踏,えぶみ,春
魞挿す,えりさす,春
円位忌,えんいき,春
円光忌,えんこうき,春
円宗寺最勝会,えんしゅうじさいしょうえ,春
遠足,えんそく,春
豌豆の花,えんどうのはな,春
縁の下の舞,えんのしたのまい,春
延命菊,えんめいぎく,春
老桜,おいざくら,春
御出祭,おいでまつり,春
老蕨,おいわらび,春
桜花,おうか・さくらばな,春
桜花祭,おうかさい,春
扇蔓,おうぎかずら,春
扇だこ,おうぎだこ,春
扇張る,おうぎはる,春
扇干す,おうぎほす,春
黄金週間,おうごんしゅうかん,春
黄色宝,おうごんだから,春
鶯宿梅,おうしゅくばい,春
桜桃の花,おうとうのはな,春
黄梅,おうばい,春
黄蓮,おうれん,春
大石忌,おおいしき,春
大阪場所,おおさかばしょ,春
大蜆,おおしじみ,春
大島桜,おおしまざくら,春
大芹,おおぜり,春
大田螺,おおたにし,春
大茶盛,おおちゃもり,春
大とさか,おおとさか,春
おほとり貝,おおとりがい,春
大羽鰯,おおばいわし,春
大花君子蘭,おおばなくんしらん,春
大蛤,おおはまぐり,春
大原野祭,おおはらのまつり,春
大原祭,おおはらまつり,春
大干潟,おおひがた,春
大蒜,おおびる・おおにんにく,春
大松雪草,おおまつゆきそう,春
大紫,おおむらさき,春
大紫,おおむらさき,春
大山桜,おおやまざくら,春
大和神幸祭,おおやまとしんこうさい,春
大山能,おおやまのう,春
お蚕,おかいこ,春
お陰参,おかげまいり,春
御蔭参,おかげまいり,春
岡すみれ,おかすみれ,春
黄心樹,おがたま,春
黄心樹の花,おがたまのはな,春
黄心樹木蘭,おがたまもくれん,春
岡苗代,おかなわしろ,春
丘焼く,おかやく,春
をか寄居虫,おかやどかり,春
お灌仏,おかんぶつ,春
沖海女,おきあま,春
小木港祭,おぎこうさい,春
沖鰆,おきさわら,春
興津海苔,おきつのり,春
翁草,おきなぐさ,春
荻の末黒,おぎのすぐろ,春
荻の角,おぎのつの,春
荻の二葉,おぎのふたば,春
荻の芽,おぎのめ,春
荻の焼原,おぎのやけはら,春
荻の若葉,おぎのわかば・おぎのわかば,春
荻焼原,おぎやけはら,春
荻若葉,おぎわかば,春
小草生月,おぐさおいづき,春
晩菜,おくな,春
お国忌,おくにき,春
阿国忌,おくにき,春
御事納,おことおさめ,春
お事汁,おことじる,春
江籬,おごのり,春
御衣井,おころもい,春
御衣替,おころもがえ,春
納め針,おさめばり,春
押し合ひ祭,おしあいまつり,春
押合祭,おしあいまつり,春
押絵雛,おしえびな,春
遅き春,おそきはる,春
遅き日,おそきひ,春
遅桜,おそざくら,春
獺の祭,おそのまつり,春
おそ春,おそはる,春
お松明,おたいまつ,春
御松明,おたいまつ,春
小田かえす,おだかえす,春
をだまきの花,おだまきのはな,春
お玉杓子,おたまじゃくし,春
落ちたこ,おちたこ,春
落椿,おちつばき,春
落鰊,おちにしん,春
落雲雀,おちひばり,春
お中日,おちゅうにち,春
御告祭,おつげさい,春
お告げの祝日,おつげのしゅくじつ,春
乙鳥,おつどり・つばめ,春
御灯祭,おとうまつり,春
牡蒿,おとこよもぎ,春
落し角,おとしづの,春
おおとり貝,おととりがい,春
乙女桜,おとめざくら,春
乙女鷹,おとめだか,春
乙女椿,おとめつばき,春
踊念仏,おどりねんぶつ,春
尾長あげは,おながあげは,春
をなが雉,おながきじ,春
鬼浅蜊,おにあさり,春
鬼きらん草,おにきらんそう,春
鬼縛の花,おにしばりのはな,春
鬼の田芥,おにのたがらし,春
おに寄居虫,おにやどかり,春
おに蕨,おにわらび,春
お涅槃,おねはん,春
小野小町忌,おののこまちき,春
薺蒿,おはぎ,春
婆芹,おばぜり,春
雄蜂,おばち,春
お花見,おはなみ,春
お花見レース,おはなみれーす,春
お花見レガッタ,おはなみれがった,春
お彼岸,おひがん,春
お札流し,おふだながし,春
覚狩,おぼえがり,春
朧,おぼろ,春
朧影,おぼろかげ,春
朧月,おぼろづき,春
朧月夜,おぼろづきよ,春
朧めく,おぼろめく,春
朧夜,おぼろよ,春
お水送り,おみずおくり,春
お水取,おみずとり,春
御身拭,おみぬぐい,春
御室詣,おむろまいり,春
御室詣,おむろもうで,春
御目見得,おめみえ,春
面影草,おもかげぐさ,春
親雀,おやすずめ,春
親田,おやだ,春
親猫,おやねこ,春
お山参り,おやままいり,春
阿蘭陀苺の花,おらんだいちごのはな,春
和蘭芥子,おらんだがらし,春
オランダ雉隠し,おらんだきじかくし,春
オランダ下り,おらんだくだり,春
オランダ躑躅,おらんだつつじ,春
オランダ渡り,おらんだわたり,春
阿蘭陀渡る,おらんだわたる,春
折雛,おりびな,春
温床,おんしょう,春
貝合,かいあわせ,春
飼鶯,かいうぐいす,春
貝覆,かいおおい,春
貝桶,かいおけ,春
蚕,かいこ・こ,春
海紅,かいこう,春
蚕時,かいこどき,春
海市,かいし,春
艾草,がいそう・もぐさ,春
開題供養,かいだいくよう,春
開帳,かいちょう,春
海棠,かいどう,春
海棠忌,かいどうき,春
外套脱ぐ,がいとうぬぐ,春
貝の華,かいのはな,春
解氷,かいひょう,春
解氷期,かいひょうき,春
解氷湖,かいひょうこ,春
海府海苔,かいふのり,春
飼屋,かいや,春
貝寄,かいよせ,春
貝寄風,かいよせ,春
街路樹の芽,がいろじゅのめ,春
花会式,かえしき・はなえしき,春
楓の花,かえでのはな,春
楓の芽,かえでのめ,春
帰り鴫,かえりしぎ,春
蛙生る,かえるうまる,春
帰る鴨,かえるかも,春
帰る雁,かえるかり,春
蛙子,かえるご・かえるこ,春
帰る鶴,かえるつる,春
帰る鳥,かえるとり,春
蛙の子,かえるのこ・かわずのこ,春
蛙の目借り時,かえるのめかりどき,春
容鳥,かおどり,春
貌鳥,かおどり,春
貌よ鳥,かおよどり,春
かがみ草,かがみぐさ,春
篝火草,かがりびそう,春
搔ぢしゃ,かきぢしゃ,春
嗅茶,かぎちゃ,春
垣繕う,かきつくろう,春
垣繕ふ,かきつくろう,春
垣手入れ,かきていれ,春
垣通,かきどおし,春
柿の芽,かきのめ,春
花杏,かきょう,春
鍵蕨,かぎわらび,春
学年試験,がくねんしけん,春
角巻脱ぐ,かくまきぬぐ,春
鶴林,かくりん,春
鶴林の夜半,かくりんのよわ,春
嘉月,かげつ,春
賭鶏,かけどり,春
陰雪,かげゆき,春
陽炎,かげろう,春
野馬,かげろう・やば,春
陽炎燃ゆる,かげろうもゆる,春
葛西海苔,かさいのり,春
風垣解く,かざがきとく,春
風囲解く,かざがこいとく,春
風車,かざぐるま,春
風車売,かざぐるまうり,春
鵲の巣,かささぎのす,春
かざし草,かざしぐさ,春
傘止太夫,かさどめたゆう,春
重ね正月,かさねしょうがつ,春
蝤蛑,がざみ,春
香散見草,かざみぐさ,春
風見草,かざみそう,春
風除解く,かざよけとく,春
樫の花,かしのはな,春
橿原祭,かしはらまつり,春
鹿島祭頭祭,かしまさいとうさい,春
搗布,かじめ,春
搗布刈る,かじめかる,春
搗布舟,かじめぶね,春
搗布干す,かじめほす,春
果樹植う,かじゅうう,春
鵝掌草,がしょうそう,春
春日祭,かすがまつり,春
数の子草,かずのこぐさ,春
数の子製す,かずのこせいす,春
数の子作る,かずのこつくる,春
数の子抜く,かずのこぬく,春
数の子干す,かずのこほす,春
かずの花,かずのはな,春
霞,かすみ,春
霞隠れ,かすみがくれ,春
霞敷く,かすみしく,春
霞草,かすみそう,春
霞宝,かすみだから,春
霞立つ,かすみたつ,春
霞棚引く,かすみたなびく,春
霞流る,かすみながる,春
霞の網,かすみのあみ,春
霞の海,かすみのうみ,春
霞の沖,かすみのおき,春
霞の奥,かすみのおく,春
霞の帯,かすみのおび,春
霞の衣,かすみのころも,春
霞の里,かすみのさと,春
霞の底,かすみのそこ,春
霞の袖,かすみのそで,春
霞の空,かすみのそら,春
霞の棚,かすみのたな,春
霞の谷,かすみのたに,春
霞の袂,かすみのたもと,春
霞の波,かすみのなみ,春
霞の浪,かすみのなみ,春
霞の麓,かすみのふもと,春
霞の洞,かすみのほら,春
霞の籬,かすみのまがき,春
霞の山,かすみのやま,春
霞渡る,かすみわたる,春
風雪崩,かぜなだれ,春
風の花,かぜのはな,春
風光る,かぜひかる,春
風待草,かぜまちぐさ,春
風やわらか,かぜやわらか,春
かせん,かせん,春
歌仙桜,かせんざくら,春
かぞの花,かぞのはな,春
かたかごの花,かたかごのはな,春
片栗の花,かたくりのはな,春
堅雪,かたゆき,春
陸人,かちど,春
勝鶏,かちどり,春
かつみの芽,かつみのめ,春
鬘草,かつらぐさ,春
花亭,かてい,春
かてん草,かてんそう,春
蝌蚪,かと・かえるこ,春
門桜,かどざくら,春
蝌蚪の紐,かとのひも,春
蝌蚪の水,かとのみず,春
門柳,かどやなぎ,春
鉄引草,かなびきそう,春
鐘朧,かねおぼろ,春
鐘霞む,かねかすむ,春
鐘供養,かねくよう,春
かの子忌,かのこき,春
鹿子草,かのこそう,春
纈草,かのこそう,春
河貝子,かばいし,春
香栄草,かばえぐさ,春
樺ざくら,かばざくら,春
樺桜,かばざくら,春
樺の花,かばのはな,春
樺海苔,かばのり,春
画眉鳥,がびちょう,春
荷風忌,かふうき,春
株分,かぶわけ,春
南瓜植う,かぼちゃうう,春
南瓜蒔く,かぼちゃまく・とうなすまく,春
かまい時,かまいどき,春
鎌倉右大臣忌,かまくらうだいじんき,春
剃刀貝,かみそりがい,春
神のお告げ,かみのおつげ,春
かみの木の花,かみのきのはな,春
紙雛,かみびな,春
紙風船,かみふうせん,春
亀鳴く,かめなく,春
亀の看経,かめのかんきん,春
がめの木の花,がめのきのはな,春
鴨帰る,かもかえる,春
