kigo,pronunciation,season
恵方棚,えほうだな,新年
恵方詣,えほうまいり,新年
恵方道,えほうみち,新年
絵蓬萊,えほうらい,新年
会陽,えよう,新年
延寿祭,えんじゅさい,新年
延寿盃,えんじゅはい,新年
延寿箸,えんじゅばし,新年
淵酔,えんずい,新年
役行者忌,えんのぎょうじゃき,新年
えんぶり宿,えんぶりやど,新年
閻魔詣,えんままいり,新年
縁結び神事,えんむすびしんじ,新年
縁結の神事,えんむすびのしんじ,新年
老の春,おいのはる,新年
追羽子,おいばね,新年
お祝ひかちん,おいわいかちん,新年
扇売,おうぎうり,新年
扇凧,おうぎだこ,新年
扇投,おうぎなげ,新年
王月,おうげつ,新年
王子十八講,おうじじゅうはちこう,新年
王春,おうしゅん,新年
王春月,おうしゅんげつ,新年
王正,おうせい,新年
御謡初,おうたいぞめ,新年
御謡初,おうたいはじめ,新年
椀飯,おうばん,新年
椀飯振舞,おうばんぶるまい,新年
女王禄,おうろく,新年
女王禄を賜う,おうろくをたまう,新年
女王禄を賜ふ,おうろくをたまう,新年
大飾,おおかざり,新年
大賀玉の木,おおがたまのき・おがたまのき,新年
大鍬初,おおくわぞめ,新年
大芹うたふ,おおぜりうたう,新年
大津の藁打,おおつのわらうち,新年
大原野御弓祭,おおはらのおゆみまつり,新年
大福,おおふく,新年
大服,おおぶく・おおふく,新年
大福茶,おおふくちゃ,新年
公御供,おおやけごくう,新年
御鏡,おかがみ,新年
お飾,おかざり,新年
お飾こわし,おかざりこわし,新年
御頭神事,おかしらしんじ,新年
御方打,おかたぶち,新年
御粥祭,おかゆまつり,新年
御土器,おかわらけ,新年
お元日,おがんじつ,新年
御元日,おがんじつ,新年
起初め,おきぞめ,新年
御行,おぎょう,新年
御蔵開,おくらびらき,新年
お鍬立,おくわたて,新年
白朮縄,おけらなわ,新年
白朮火,おけらび,新年
白朮詣,おけらまいり,新年
白朮祭,おけらまつり,新年
お事汁,おことじる,新年
お事の使,おことのつかい,新年
御事の使,おことのつかい,新年
お事始,おことはじめ,新年
御降,おさがり,新年
押鮎,おしあゆ,新年
お正月,おしょうがつ,新年
